Order Date,Order ID,Product,Product_ean,catégorie,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin
1/22/2019 21:25,141234,iPhone,5.63801E+12,Vêtements,"944 Walnut St, Boston, MA 02215",1,700,231,700,469
1/28/2019 14:15,141235,Lightning Charging Cable,5.56332E+12,Alimentation,"185 Maple St, Portland, OR 97035",1,14.95,7.475,14.95,7.475
1/17/2019 13:33,141236,Wired Headphones,2.11397E+12,Vêtements,"538 Adams St, San Francisco, CA 94016",2,11.99,5.995,23.98,11.99
1/5/2019 20:33,141237,27in FHD Monitor,3.06916E+12,Sports,"738 10th St, Los Angeles, CA 90001",1,149.99,97.4935,149.99,52.4965
1/25/2019 11:59,141238,Wired Headphones,9.69268E+12,Électronique,"387 10th St, Austin, TX 73301",1,11.99,5.995,11.99,5.995
1/29/2019 20:22,141239,AAA Batteries (4-pack),2.95387E+12,Alimentation,"775 Willow St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495
1/26/2019 12:16,141240,27in 4K Gaming Monitor,5.17367E+12,Vêtements,"979 Park St, Los Angeles, CA 90001",1,389.99,128.6967,389.99,261.2933
1/5/2019 12:04,141241,USB-C Charging Cable,8.05174E+12,Vêtements,"181 6th St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975
1/1/2019 10:30,141242,Bose SoundSport Headphones,1.50842E+12,Électronique,"867 Willow St, Los Angeles, CA 90001",1,99.99,49.995,99.99,49.995
1/22/2019 21:20,141243,Apple Airpods Headphones,1.38634E+12,Électronique,"657 Johnson St, San Francisco, CA 94016",1,150,97.5,150,52.5
1/7/2019 11:29,141244,Apple Airpods Headphones,4.3329E+12,Vêtements,"492 Walnut St, San Francisco, CA 94016",1,150,97.5,150,52.5
1/31/2019 10:12,141245,Macbook Pro Laptop,1.16938E+12,Vêtements,"322 6th St, San Francisco, CA 94016",1,1700,561,1700,1139
1/9/2019 18:57,141246,AAA Batteries (4-pack),4.43618E+12,Vêtements,"618 7th St, Los Angeles, CA 90001",3,2.99,1.495,8.97,4.485
1/25/2019 19:19,141247,27in FHD Monitor,7.31383E+12,Vêtements,"512 Wilson St, San Francisco, CA 94016",1,149.99,97.4935,149.99,52.4965
1/3/2019 21:54,141248,Flatscreen TV,4.06276E+12,Électronique,"363 Spruce St, Austin, TX 73301",1,300,99,300,201
1/5/2019 17:20,141249,27in FHD Monitor,9.64343E+12,Alimentation,"440 Cedar St, Portland, OR 97035",1,149.99,97.4935,149.99,52.4965
1/10/2019 11:20,141250,Vareebadd Phone,6.72178E+12,Alimentation,"471 Center St, Los Angeles, CA 90001",1,400,132,400,268
1/24/2019 8:13,141251,Apple Airpods Headphones,2.7001E+12,Alimentation,"414 Walnut St, Boston, MA 02215",1,150,97.5,150,52.5
1/30/2019 9:28,141252,USB-C Charging Cable,3.69244E+12,Sports,"220 9th St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975
1/17/2019 0:09,141253,AA Batteries (4-pack),6.7415E+12,Alimentation,"385 11th St, Atlanta, GA 30301",1,3.84,1.92,3.84,1.92
1/8/2019 11:51,141254,AAA Batteries (4-pack),8.21954E+12,Électronique,"238 Sunset St, Seattle, WA 98101",1,2.99,1.495,2.99,1.495
1/9/2019 20:55,141255,USB-C Charging Cable,7.73913E+12,Alimentation,"764 11th St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975
1/29/2019 10:40,141256,Google Phone,3.69346E+12,Électronique,"675 Washington St, Portland, OR 97035",1,600,198,600,402
1/12/2019 18:51,141257,Apple Airpods Headphones,8.58666E+12,Sports,"338 Highland St, San Francisco, CA 94016",1,150,97.5,150,52.5
1/19/2019 21:47,141258,AA Batteries (4-pack),5.05092E+12,Sports,"820 1st St, San Francisco, CA 94016",1,3.84,1.92,3.84,1.92
1/20/2019 17:26,141259,AAA Batteries (4-pack),8.11462E+12,Alimentation,"920 Adams St, San Francisco, CA 94016",2,2.99,1.495,5.98,2.99
1/1/2019 22:00,141260,AAA Batteries (4-pack),9.69071E+12,Alimentation,"293 Hill St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495
1/9/2019 18:14,141261,USB-C Charging Cable,3.83285E+12,Sports,"840 Lincoln St, Atlanta, GA 30301",1,11.95,5.975,11.95,5.975
1/16/2019 12:35,141262,AAA Batteries (4-pack),2.88898E+12,Sports,"291 Lincoln St, San Francisco, CA 94016",1,2.99,1.495,2.99,1.495
1/11/2019 23:33,141263,Bose SoundSport Headphones,3.42446E+12,Vêtements,"640 Spruce St, Boston, MA 02215",1,99.99,49.995,99.99,49.995
1/3/2019 9:46,141264,Apple Airpods Headphones,8.60468E+12,Vêtements,"937 Highland St, New York City, NY 10001",1,150,97.5,150,52.5
1/1/2019 16:52,141265,Apple Airpods Headphones,8.19598E+12,Alimentation,"853 Ridge St, Boston, MA 02215",1,150,97.5,150,52.5
1/2/2019 22:21,141266,27in 4K Gaming Monitor,5.42312E+12,Sports,"834 4th St, Dallas, TX 75001",1,389.99,128.6967,389.99,261.2933
1/9/2019 8:28,141267,Apple Airpods Headphones,4.26314E+12,Sports,"649 Sunset St, Los Angeles, CA 90001",1,150,97.5,150,52.5
1/14/2019 10:13,141268,AA Batteries (4-pack),7.30087E+12,Vêtements,"611 Elm St, New York City, NY 10001",1,3.84,1.92,3.84,1.92
1/3/2019 20:05,141269,27in 4K Gaming Monitor,9.3051E+12,Sports,"812 Jefferson St, Los Angeles, CA 90001",1,389.99,128.6967,389.99,261.2933
1/27/2019 23:10,141270,Wired Headphones,2.49025E+12,Vêtements,"469 Hill St, San Francisco, CA 94016",1,11.99,5.995,11.99,5.995
1/30/2019 10:51,141271,USB-C Charging Cable,9.01269E+12,Électronique,"90 13th St, Boston, MA 02215",1,11.95,5.975,11.95,5.975
1/12/2019 13:09,141272,AAA Batteries (4-pack),6.60936E+12,Sports,"818 Lincoln St, New York City, NY 10001",1,2.99,1.495,2.99,1.495
1/29/2019 12:04,141273,Wired Headphones,2.00903E+12,Sports,"994 13th St, Boston, MA 02215",2,11.99,5.995,23.98,11.99
1/17/2019 11:30,141274,USB-C Charging Cable,2.45856E+12,Sports,"8 Jackson St, Los Angeles, CA 90001",1,11.95,5.975,11.95,5.975
1/7/2019 16:06,141275,USB-C Charging Cable,6.81373E+12,Sports,"610 Walnut St, Austin, TX 73301",1,11.95,5.975,11.95,5.975
1/7/2019 16:06,141275,Wired Headphones,5.76206E+12,Vêtements,"610 Walnut St, Austin, TX 73301",1,11.99,5.995,11.99,5.995
1/21/2019 22:23,141276,Lightning Charging Cable,4.4374E+12,Sports,"63 Cherry St, Los Angeles, CA 90001",1,14.95,7.475,14.95,7.475
1/13/2019 19:07,141277,Bose SoundSport Headphones,7.02246E+12,Électronique,"370 Lakeview St, Austin, TX 73301",1,99.99,49.995,99.99,49.995
1/26/2019 12:14,141278,Lightning Charging Cable,3.94558E+12,Alimentation,"100 Cherry St, New York City, NY 10001",1,14.95,7.475,14.95,7.475
1/3/2019 19:10,141279,Lightning Charging Cable,2.25437E+12,Sports,"938 14th St, Boston, MA 02215",1,14.95,7.475,14.95,7.475
1/20/2019 16:10,141280,AAA Batteries (4-pack),6.96873E+12,Électronique,"530 7th St, Los Angeles, CA 90001",1,2.99,1.495,2.99,1.495
1/5/2019 16:51,141281,Lightning Charging Cable,8.25168E+12,Alimentation,"274 2nd St, Atlanta, GA 30301",1,14.95,7.475,14.95,7.475
1/11/2019 18:10,141282,Vareebadd Phone,7.51999E+12,Sports,"125 Center St, New York City, NY 10001",1,400,132,400,268
1/2/2019 16:16,141283,Flatscreen TV,8.6333E+12,Électronique,"68 Hickory St, Seattle, WA 98101",1,300,99,300,201
1/29/2019 18:30,141284,Wired Headphones,8.50738E+12,Vêtements,"462 1st St, Los Angeles, CA 90001",1,11.99,5.995,11.99,5.995
1/14/2019 14:13,141285,AAA Batteries (4-pack),2.48433E+12,Alimentation,"447 Cedar St, Seattle, WA 98101",3,2.99,1.495,8.97,4.485
1/2/2019 20:33,141286,27in 4K Gaming Monitor,3.4299E+12,Vêtements,"505 Hickory St, Dallas, TX 75001",1,389.99,128.6967,389.99,261.2933
1/31/2019 8:38,141287,Bose SoundSport Headphones,8.9325E+12,Alimentation,"386 Elm St, San Francisco, CA 94016",1,99.99,49.995,99.99,49.995
1/19/2019 8:17,141288,Macbook Pro Laptop,3.95766E+12,Sports,"789 Washington St, Los Angeles, CA 90001",1,1700,561,1700,1139
1/28/2019 11:17,141289,20in Monitor,1.33478E+12,Alimentation,"534 Elm St, Atlanta, GA 30301",1,109.99,71.4935,109.99,38.4965
